"file","light","treatment","opsin","spikes","cell","recording","index","uw_mm2","intensity_mv","rel_uw_mm2","treatment2","delta_t_rheo_s","pa_injection_start_s","rheo_s"
"27092022_TP184_cover1_cell1_0008","550nm","ramp_no_light","tp184",16,8,1,39,0,NA,1,"pulse",0.14993,0.32,0.46993
"27092022_TP184_cover1_cell1_0009","550nm","ramp_550nm_pulse","tp184",0,8,1,39,259.8414967,5000,0,"pulse",0.5,0.32,0.82
"27092022_TP184_cover1_cell1_0010","635nm","ramp_no_light","tp184",15,8,1,40,0,NA,1,"pulse",0.1705,0.32,0.4905
"27092022_TP184_cover1_cell1_0011","635nm","ramp_635nm_pulse","tp184",4,8,1,40,103.9365987,5000,0.266666667,"pulse",0.34839,0.32,0.66839
"27092022_TP184_cover2_cell3_0006","550nm","ramp_no_light","tp184",17,9,1,41,0,NA,1,"continuous",0.14026,0.32,0.46026
"27092022_TP184_cover2_cell3_0007","550nm","ramp_550nm_continuous","tp184",0,9,1,41,259.8414967,5000,0,"continuous",0.5,0.32,0.82
"27092022_TP184_cover2_cell3_0008","635nm","ramp_no_light","tp184",18,9,1,42,0,NA,1,"continuous",0.14848,0.32,0.46848
"27092022_TP184_cover2_cell3_0009","635nm","ramp_635nm_continuous","tp184",0,9,1,42,103.9365987,5000,0,"continuous",0.5,0.32,0.82
"27092022_TP184_cover2_cell3_0010","550nm","ramp_no_light","tp184",18,9,1,43,0,NA,1,"pulse",0.14661,0.32,0.46661
"27092022_TP184_cover2_cell3_0011","550nm","ramp_550nm_pulse","tp184",2,9,1,43,259.8414967,5000,0.111111111,"pulse",0.44529,0.32,0.76529
"27092022_TP184_cover2_cell3_0012","635nm","ramp_no_light","tp184",18,9,1,44,0,NA,1,"pulse",0.14727,0.32,0.46727
"27092022_TP184_cover2_cell3_0013","635nm","ramp_635nm_pulse","tp184",6,9,1,44,103.9365987,5000,0.333333333,"pulse",0.34118,0.32,0.66118
"27092022_TP184_cover2_cell3_0015","550nm","ramp_no_light","tp184",18,9,2,45,0,NA,1,"continuous",0.16217,0.32,0.48217
"27092022_TP184_cover2_cell3_0016","550nm","ramp_550nm_continuous","tp184",0,9,2,45,259.8414967,5000,0,"continuous",0.5,0.32,0.82
"27092022_TP184_cover2_cell3_0017","635nm","ramp_no_light","tp184",18,9,2,46,0,NA,1,"continuous",0.12838,0.32,0.44838
"27092022_TP184_cover2_cell3_0018","635nm","ramp_635nm_continuous","tp184",0,9,2,46,103.9365987,5000,0,"continuous",0.5,0.32,0.82
"27092022_TP184_cover2_cell3_0019","550nm","ramp_no_light","tp184",16,9,2,47,0,NA,1,"pulse",0.17183,0.32,0.49183
"27092022_TP184_cover2_cell3_0020","550nm","ramp_550nm_pulse","tp184",3,9,2,47,259.8414967,5000,0.1875,"pulse",0.44495,0.32,0.76495
"27092022_TP184_cover2_cell3_0021","635nm","ramp_no_light","tp184",17,9,2,48,0,NA,1,"pulse",0.14926,0.32,0.46926
"27092022_TP184_cover2_cell3_0022","635nm","ramp_635nm_pulse","tp184",6,9,2,48,103.9365987,5000,0.352941176,"pulse",0.34374,0.32,0.66374
"","550nm","intensity_curve","tp184",NA,10,1,49,0,NA,1,"",NA,NA,NA
"17102022_TP184_hippo_cover1_cell1_0006","550nm","intensity_curve","tp184",0,10,1,49,0.004677147,50,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover1_cell1_0006","550nm","intensity_curve","tp184",0,10,1,49,0.179290633,51,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover1_cell1_0006","550nm","intensity_curve","tp184",0,10,1,49,2.858256464,52,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover1_cell1_0006","550nm","intensity_curve","tp184",0,10,1,49,7.119657009,53,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover1_cell1_0006","550nm","intensity_curve","tp184",0,10,1,49,11.69286735,54,0,NA,NA,NA,NA
"","635nm","intensity_curve","tp184",NA,10,1,50,0,NA,1,"",NA,NA,NA
"17102022_TP184_hippo_cover1_cell1_0007","635nm","intensity_curve","tp184",7,10,1,50,1.221255034,96,1,NA,NA,NA,NA
"17102022_TP184_hippo_cover1_cell1_0007","635nm","intensity_curve","tp184",5,10,1,50,3.351955307,98,0.714285714,NA,NA,NA,NA
"17102022_TP184_hippo_cover1_cell1_0007","635nm","intensity_curve","tp184",0,10,1,50,4.391321294,100,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover1_cell1_0007","635nm","intensity_curve","tp184",0,10,1,50,4.495257893,102,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover1_cell1_0007","635nm","intensity_curve","tp184",0,10,1,50,4.72911524,104,0,NA,NA,NA,NA
"","550nm","intensity_curve","tp184",NA,11,1,51,0,NA,1,"",NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0004","550nm","intensity_curve","tp184",3,11,1,51,0.004677147,50,1,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0004","550nm","intensity_curve","tp184",0,11,1,51,0.179290633,51,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0004","550nm","intensity_curve","tp184",0,11,1,51,2.858256464,52,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0004","550nm","intensity_curve","tp184",0,11,1,51,7.119657009,53,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0004","550nm","intensity_curve","tp184",0,11,1,51,11.69286735,54,0,NA,NA,NA,NA
"","635nm","intensity_curve","tp184",NA,11,1,52,0,NA,1,"",NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0005","635nm","intensity_curve","tp184",10,11,1,52,1.221255034,96,1,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0005","635nm","intensity_curve","tp184",7,11,1,52,3.351955307,98,0.7,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0005","635nm","intensity_curve","tp184",0,11,1,52,4.391321294,100,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0005","635nm","intensity_curve","tp184",0,11,1,52,4.495257893,102,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0005","635nm","intensity_curve","tp184",0,11,1,52,4.72911524,104,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0000","550nm","ramp_no_light","tp184",14,11,1,53,0,NA,1,"continuous",0.22427,0.32,0.54427
"17102022_TP184_hippo_cover2_cell2_0001","550nm","ramp_550nm_continuous","tp184",0,11,1,53,259.8414967,5000,0,"continuous",0.5,0.32,0.82
"17102022_TP184_hippo_cover2_cell2_0002","635nm","ramp_no_light","tp184",11,11,1,54,0,NA,1,"continuous",0.22427,0.32,0.54427
"17102022_TP184_hippo_cover2_cell2_0003","635nm","ramp_635nm_continuous","tp184",0,11,1,54,103.9365987,5000,0,"continuous",0.5,0.32,0.82
"17102022_TP184_hippo_cover2_cell2_0004","550nm","ramp_no_light","tp184",12,11,1,55,0,NA,1,"pulse",0.29064,0.32,0.61064
"17102022_TP184_hippo_cover2_cell2_0005","550nm","ramp_550nm_pulse","tp184",0,11,1,55,259.8414967,5000,0,"pulse",0.5,0.32,0.82
"17102022_TP184_hippo_cover2_cell2_0006","635nm","ramp_no_light","tp184",15,11,1,56,0,NA,1,"pulse",0.21896,0.32,0.53896
"17102022_TP184_hippo_cover2_cell2_0007","635nm","ramp_635nm_pulse","tp184",0,11,1,56,103.9365987,5000,0,"pulse",0.5,0.32,0.82
"","550nm","intensity_curve","tp184",NA,11,1,57,0,NA,1,"",NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0008","550nm","intensity_curve","tp184",11,11,2,57,0.004677147,50,1,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0008","550nm","intensity_curve","tp184",5,11,2,57,0.179290633,51,0.454545455,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0008","550nm","intensity_curve","tp184",0,11,2,57,2.858256464,52,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0008","550nm","intensity_curve","tp184",0,11,2,57,7.119657009,53,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0008","550nm","intensity_curve","tp184",0,11,2,57,11.69286735,54,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0008","550nm","intensity_curve","tp184",0,11,2,57,15.01883851,55,0,NA,NA,NA,NA
"","635nm","intensity_curve","tp184",NA,11,1,58,0,NA,1,"",NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0009","635nm","intensity_curve","tp184",12,11,2,58,1.221255034,96,1,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0009","635nm","intensity_curve","tp184",11,11,2,58,3.351955307,98,0.916666667,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0009","635nm","intensity_curve","tp184",2,11,2,58,4.391321294,100,0.166666667,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0009","635nm","intensity_curve","tp184",0,11,2,58,4.495257893,102,0,NA,NA,NA,NA
"17102022_TP184_hippo_cover2_cell2_0009","635nm","intensity_curve","tp184",0,11,2,58,4.72911524,104,0,NA,NA,NA,NA
"","550nm","intensity_curve","tp184",NA,12,1,59,0,NA,1,"",NA,NA,NA
"18102022_TP184_hippo_cover1_cell1_0001","550nm","intensity_curve","tp184",0,12,1,59,0.004677147,50,0,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell1_0001","550nm","intensity_curve","tp184",0,12,1,59,0.179290633,51,0,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell1_0001","550nm","intensity_curve","tp184",0,12,1,59,2.858256464,52,0,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell1_0001","550nm","intensity_curve","tp184",0,12,1,59,7.119657009,53,0,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell1_0001","550nm","intensity_curve","tp184",0,12,1,59,11.69286735,54,0,NA,NA,NA,NA
"18102022_TP184_hippo_cover1_cell1_0001","550nm","intensity_curve","tp184",0,12,1,59,15.01883851,55,0,NA,NA,NA,NA
