scorer,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet_50_ChRs_134_135Sep10shuffle1_300000
bodyparts,head,head,head,left ear,left ear,left ear,Right ear,Right ear,Right ear,basetail,basetail,basetail,spine,spine,spine,cable1,cable1,cable1,cable2,cable2,cable2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,269.62799072265625,406.7510070800781,0.9999948740005493,268.3311462402344,400.98480224609375,0.9999886751174927,263.7926025390625,409.1612243652344,0.9999967813491821,220.56593322753906,388.34136962890625,0.9999988079071045,243.89524841308594,394.63201904296875,0.9999874830245972,277.1698303222656,412.79339599609375,0.9999929666519165,294.9259948730469,424.6552734375,0.9999832510948181
9,269.62799072265625,406.7510070800781,0.9999948740005493,268.3311462402344,400.98480224609375,0.9999886751174927,263.7926025390625,409.1612243652344,0.9999967813491821,220.56593322753906,388.34136962890625,0.9999988079071045,243.89524841308594,394.63201904296875,0.9999874830245972,277.1698303222656,412.79339599609375,0.9999929666519165,294.9259948730469,424.6552734375,0.9999832510948181
10,269.9892272949219,407.029541015625,0.9999935030937195,268.5285949707031,401.1357727050781,0.9999885559082031,263.7857666015625,409.5939025878906,0.999995231628418,220.7610626220703,388.2059326171875,0.999998927116394,244.24130249023438,395.04833984375,0.9999911785125732,277.51214599609375,412.86627197265625,0.9999926090240479,296.1957702636719,424.73455810546875,0.9999836087226868
11,267.0950622558594,372.2315673828125,0.9988254904747009,260.3811340332031,373.0936279296875,0.9998239278793335,267.4728088378906,379.5899658203125,0.9988460540771484,229.37196350097656,391.31414794921875,0.9999380111694336,251.58001708984375,387.54254150390625,0.9999828338623047,273.084716796875,369.4466247558594,0.9203823804855347,282.4474182128906,370.7217102050781,0.325153112411499
12,265.7381896972656,370.52252197265625,0.9996359348297119,258.9700012207031,369.6949157714844,0.9998601675033569,267.2676086425781,377.8356628417969,0.9996432662010193,230.2957000732422,392.97894287109375,0.9999372959136963,250.5562744140625,385.33782958984375,0.999969482421875,268.86517333984375,365.46319580078125,0.9552414417266846,283.0075378417969,367.9424743652344,0.2441272735595703
13,262.8673095703125,365.3388366699219,0.99991774559021,255.2113494873047,364.0190124511719,0.9999364614486694,265.0521545410156,374.2576904296875,0.9999691247940063,232.16629028320312,393.6850891113281,0.9998997449874878,252.0455780029297,384.113037109375,0.9999586939811707,267.6927490234375,359.1388854980469,0.9931838512420654,283.9995422363281,365.6646423339844,0.049603432416915894
14,260.59405517578125,362.33563232421875,0.9996545314788818,253.6503143310547,362.7659912109375,0.9997875690460205,262.7687072753906,369.9478759765625,0.9999588131904602,235.9864501953125,394.3379821777344,0.9996357560157776,251.45132446289062,380.7160339355469,0.9999166131019592,262.9412841796875,355.2104797363281,0.98525071144104,235.15292358398438,349.7691345214844,0.9894405603408813
15,258.8751220703125,359.05999755859375,0.9999809265136719,252.41688537597656,361.30877685546875,0.9999487400054932,262.26470947265625,366.0854187011719,0.9999512434005737,235.2592315673828,393.7705993652344,0.999789834022522,251.2331085205078,379.06707763671875,0.9999414682388306,261.3003234863281,353.21832275390625,0.9983587265014648,234.02252197265625,349.8536376953125,0.9999489188194275
16,254.16964721679688,358.33465576171875,0.9999814033508301,247.90174865722656,362.38848876953125,0.9999731779098511,259.2002258300781,365.531005859375,0.9999885559082031,236.29986572265625,392.83447265625,0.9997710585594177,250.2243194580078,377.8377380371094,0.9999141693115234,252.36679077148438,350.5548095703125,0.9993144273757935,228.4871826171875,351.489990234375,0.9999864101409912
17,250.5253448486328,355.8250427246094,0.9999953508377075,244.2097930908203,360.6968994140625,0.9999914169311523,256.335205078125,362.2052001953125,0.9999881386756897,237.05177307128906,392.195068359375,0.9997971653938293,250.5692596435547,377.5384521484375,0.999973475933075,247.6881866455078,348.1949157714844,0.9999679327011108,222.64727783203125,344.49371337890625,0.9999939203262329
18,245.1653289794922,349.2685241699219,0.9999988079071045,241.77560424804688,355.56591796875,0.9999989867210388,252.8850860595703,355.53387451171875,0.9999982118606567,238.94174194335938,392.1914978027344,0.9998903274536133,248.37335205078125,371.5295104980469,0.9999969005584717,241.6599578857422,342.04608154296875,0.9999986290931702,219.31539916992188,338.51092529296875,0.9999962449073792
19,241.57965087890625,344.14306640625,0.9999977350234985,238.0949249267578,351.8316955566406,0.9999955892562866,248.67747497558594,349.32501220703125,0.9999948740005493,241.7073516845703,390.8036804199219,0.9999852776527405,245.5786895751953,366.6409912109375,0.9999874830245972,237.34149169921875,336.3429870605469,0.9999964833259583,213.87542724609375,335.81512451171875,0.9999862909317017
20,239.29092407226562,341.57501220703125,0.9999972581863403,235.60769653320312,348.05523681640625,0.9999901056289673,246.59437561035156,346.0958557128906,0.9999976754188538,244.48159790039062,387.59320068359375,0.9999985098838806,244.3087158203125,362.7270202636719,0.9999949932098389,234.08091735839844,334.0385437011719,0.9999864101409912,211.21820068359375,333.3446350097656,0.9999933242797852
21,239.29092407226562,341.57501220703125,0.9999972581863403,235.60769653320312,348.05523681640625,0.9999901056289673,246.59437561035156,346.0958557128906,0.9999976754188538,244.48159790039062,387.59320068359375,0.9999985098838806,244.3087158203125,362.7270202636719,0.9999949932098389,234.08091735839844,334.0385437011719,0.9999864101409912,211.21820068359375,333.3446350097656,0.9999933242797852
22,236.89315795898438,338.5068664550781,0.9999959468841553,232.84877014160156,345.32708740234375,0.9999734163284302,244.5476837158203,341.92156982421875,0.9999985694885254,247.7647247314453,382.9349365234375,0.9999974966049194,243.54539489746094,359.2379455566406,0.9999979734420776,232.41690063476562,332.6461181640625,0.999984622001648,209.298828125,332.97381591796875,0.9999663829803467
23,232.99745178222656,333.6078796386719,0.9999779462814331,229.91590881347656,340.977294921875,0.9999996423721313,241.22012329101562,338.08160400390625,0.999996542930603,249.8515625,376.386962890625,0.999996542930603,242.2635498046875,355.0736999511719,0.9999984502792358,228.88400268554688,328.5221252441406,0.9999948143959045,204.55072021484375,331.2109069824219,0.9999375343322754
24,226.6460418701172,327.3049011230469,0.9999995231628418,224.598388671875,334.8553466796875,0.9999897480010986,234.89825439453125,330.2146301269531,0.9999847412109375,247.1020050048828,371.4468994140625,0.9999992847442627,237.67242431640625,347.8561096191406,0.9999903440475464,221.47776794433594,319.294189453125,0.9999985694885254,199.65097045898438,316.17572021484375,0.9999670386314392
25,223.679443359375,324.3024597167969,0.9999991655349731,221.5541229248047,329.9383544921875,0.9999943375587463,231.70970153808594,326.3892822265625,0.9999988079071045,245.70663452148438,369.2445983886719,0.9999991655349731,234.4024658203125,345.09222412109375,0.9999821186065674,217.8446044921875,316.2788391113281,0.9999946355819702,193.93394470214844,315.5463562011719,0.9999682903289795
26,218.45101928710938,314.5604553222656,0.9999778866767883,214.67929077148438,322.2136535644531,0.9999984502792358,226.9156951904297,317.6556091308594,0.9999969005584717,242.5948944091797,359.7837219238281,0.9999983310699463,229.2952117919922,337.12847900390625,0.9999979734420776,212.72891235351562,308.23162841796875,0.9999951124191284,189.4353485107422,310.63043212890625,0.9999769330024719
27,215.9574737548828,307.9027099609375,0.9999967217445374,212.8809814453125,314.8867492675781,0.9999773502349854,225.22865295410156,311.16534423828125,0.9999905228614807,240.0384063720703,352.7896728515625,0.9999903440475464,225.5332489013672,331.2668151855469,0.9999927282333374,211.7389373779297,303.0452575683594,0.9999648928642273,187.20193481445312,307.01055908203125,0.9999844431877136
28,214.5275115966797,303.3641052246094,0.9999949932098389,211.16415405273438,310.3614501953125,0.9999966025352478,223.44371032714844,307.1329040527344,0.999994158744812,234.7624053955078,346.92364501953125,0.999986469745636,223.4315185546875,325.6755065917969,0.9999942779541016,209.7839813232422,299.06884765625,0.9998628497123718,185.41653442382812,304.3565673828125,0.9999395608901978
