scorer,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000,DLC_resnet50_OF_belowMar13shuffle1_1010000
bodyparts,LH,LH,LH,RH,RH,RH,TB,TB,TB,Center,Center,Center,LF,LF,LF,RF,RF,RF,Snout,Snout,Snout
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
1785,68.04774475097656,461.34088134765625,0.9999959468841553,108.81705474853516,464.9214172363281,0.9999575614929199,93.10469055175781,415.51025390625,0.9999281167984009,89.66029357910156,475.978759765625,0.9998887777328491,71.32018280029297,514.1940307617188,0.9999661445617676,105.83853912353516,510.240234375,0.9999439716339111,102.91805267333984,547.5469970703125,0.999988317489624
1786,67.77352142333984,462.1745910644531,0.9999961853027344,108.80280303955078,465.62286376953125,0.9999632835388184,92.84249877929688,418.9972839355469,0.9999816417694092,90.26458740234375,479.12835693359375,0.9997586607933044,71.63555908203125,515.5161743164062,0.9994437098503113,112.64962768554688,522.6714477539062,0.9998773336410522,109.68077087402344,558.8896484375,0.999937891960144
1787,67.73230743408203,468.6315612792969,0.9999949932098389,107.83773040771484,465.7116394042969,0.9999716281890869,92.84249877929688,424.8430480957031,0.999941349029541,91.35211944580078,484.59552001953125,0.9999364614486694,72.74549865722656,516.7720947265625,0.9990836381912231,116.9490737915039,539.9902954101562,0.9998278617858887,115.81135559082031,571.0035400390625,0.9999797344207764
1788,67.21174621582031,505.5744934082031,0.9992651343345642,107.40789031982422,466.72039794921875,0.9999688863754272,85.4828109741211,439.6988525390625,0.9999933242797852,94.96046447753906,498.59490966796875,0.9999614953994751,103.82715606689453,544.0953979492188,0.9999774694442749,116.9490737915039,544.620849609375,0.755527913570404,123.96007537841797,582.7164306640625,0.9999693632125854
1789,66.77496337890625,505.79388427734375,0.9999040365219116,107.40789031982422,467.7708435058594,0.9999665021896362,85.08049774169922,449.2986145019531,0.9999791383743286,95.63127136230469,502.6434326171875,0.999896764755249,107.17755126953125,546.2968139648438,0.999934196472168,116.9490737915039,544.620849609375,0.9633731245994568,130.32150268554688,594.9481201171875,0.9999936819076538
1790,65.99585723876953,506.6124267578125,0.9999639987945557,107.40789031982422,469.63958740234375,0.9999572038650513,85.08049774169922,456.7172546386719,0.9998968839645386,95.90927124023438,508.552001953125,0.9997848868370056,107.17755126953125,575.3646240234375,0.9996551275253296,115.48241424560547,545.5475463867188,0.9999418258666992,130.32150268554688,604.8792114257812,0.999971866607666
1791,65.99585723876953,507.369140625,0.9999948740005493,111.92744445800781,490.3212890625,0.9998866319656372,85.08049774169922,466.0189514160156,0.9999920129776001,95.90927124023438,518.1364135742188,0.9998486042022705,105.90931701660156,590.1557006835938,0.999859094619751,115.48241424560547,545.5475463867188,0.9999892711639404,130.32150268554688,611.3128051757812,0.9999951124191284
1792,65.99585723876953,508.6309814453125,0.9999929666519165,120.16468811035156,521.3314819335938,0.9999481439590454,90.89094543457031,477.4559631347656,0.9998966455459595,96.99190521240234,533.7387084960938,0.9998112320899963,105.90931701660156,592.7356567382812,0.9999879598617554,115.48241424560547,546.5895385742188,0.9999731779098511,126.9487533569336,617.7855224609375,0.9998155236244202
1793,66.31314086914062,508.67236328125,0.9999827146530151,120.45301818847656,530.0393676757812,0.9999853372573853,93.79303741455078,482.9197692871094,0.9999797344207764,98.94083404541016,543.028076171875,0.9998435974121094,106.08061218261719,593.1128540039062,0.9999876022338867,117.3525619506836,550.1107177734375,0.9993987083435059,124.59207153320312,624.1629028320312,0.9999537467956543
1794,66.9326171875,508.95086669921875,0.9999746084213257,120.50440979003906,530.798583984375,0.9999735355377197,96.05545043945312,484.8797912597656,0.9999908208847046,101.68436431884766,545.2899169921875,0.9999109506607056,105.90931701660156,593.1157836914062,0.9999874830245972,130.58978271484375,576.1616821289062,0.9998747110366821,122.21721649169922,632.014404296875,0.9999207258224487
1795,67.07207489013672,509.1514892578125,0.9999860525131226,120.50440979003906,530.8261108398438,0.9999889135360718,98.93316650390625,489.13140869140625,0.9999713897705078,103.00664520263672,546.8402709960938,0.9999675750732422,105.90931701660156,593.1128540039062,0.9999864101409912,131.96417236328125,595.2020874023438,0.9999864101409912,118.24080657958984,632.6575317382812,0.9999392032623291
1796,69.18222045898438,510.5393371582031,0.9999505281448364,120.45301818847656,530.913818359375,0.9999791383743286,99.17243957519531,491.699951171875,0.9999707937240601,105.59127807617188,548.880126953125,0.9999338388442993,105.47734832763672,592.7356567382812,0.9999756813049316,131.982421875,599.5133666992188,0.9998897314071655,117.84761047363281,633.4813842773438,0.99991774559021
1797,85.70069885253906,534.5623779296875,0.9984887838363647,119.99943542480469,531.250732421875,0.9999747276306152,99.17243957519531,491.7862548828125,0.9999740123748779,109.17974090576172,551.8369140625,0.9994768500328064,105.47734832763672,593.1157836914062,0.999966025352478,131.982421875,601.6799926757812,0.9999239444732666,115.35203552246094,635.2814331054688,0.9998964071273804
1798,85.70069885253906,553.7144775390625,0.9999599456787109,119.62213897705078,531.250732421875,0.9999864101409912,99.17243957519531,494.84942626953125,0.9999794960021973,109.17974090576172,554.4424438476562,0.9997417330741882,105.47734832763672,593.1157836914062,0.9999946355819702,131.96417236328125,608.4683227539062,0.9999620914459229,115.35203552246094,637.7369995117188,0.9998281002044678
1799,85.70069885253906,567.9133911132812,0.9999476671218872,119.37725830078125,531.250732421875,0.9999942779541016,94.96903228759766,499.2991638183594,0.9999604225158691,109.17974090576172,558.6118774414062,0.9997625946998596,105.86187744140625,593.622314453125,0.9999933242797852,131.03173828125,613.9841918945312,0.9999696016311646,115.35203552246094,643.142822265625,0.999953031539917
1800,83.5418930053711,574.14794921875,0.9999712705612183,119.62213897705078,531.8154296875,0.9999961853027344,94.96903228759766,508.17071533203125,0.9998214840888977,109.17974090576172,562.7533569335938,0.9999314546585083,105.86187744140625,594.0142211914062,0.9999926090240479,130.6475067138672,623.313232421875,0.9998742341995239,116.38697052001953,651.6575927734375,0.9999083280563354
1801,82.65852355957031,574.9976806640625,0.999935507774353,119.62213897705078,532.04931640625,0.9999949932098389,94.96903228759766,514.5313110351562,0.9999440908432007,109.17974090576172,569.3246459960938,0.9997631907463074,105.86187744140625,599.1671142578125,0.9998821020126343,128.19778442382812,630.9461059570312,0.9999475479125977,118.4593505859375,663.6951293945312,0.9999135732650757
1802,82.65852355957031,575.5599365234375,0.9999135732650757,121.14944458007812,536.1908569335938,0.9998672008514404,97.23603820800781,520.4865112304688,0.9998581409454346,110.28731536865234,580.0521240234375,0.9999762773513794,104.83598327636719,638.964111328125,0.9924181699752808,128.19778442382812,631.8775024414062,0.9995852112770081,118.69019317626953,675.47119140625,0.9999765157699585
