scorer,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000,DLC_resnet50_ChRs_134_135Sep10shuffle1_300000
bodyparts,head,head,head,left ear,left ear,left ear,Right ear,Right ear,Right ear,basetail,basetail,basetail,spine,spine,spine,cable1,cable1,cable1,cable2,cable2,cable2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,189.37510681152344,402.6987609863281,0.9999891519546509,194.20147705078125,397.051513671875,0.9999850988388062,184.41062927246094,397.6077575683594,0.99996018409729,183.62391662597656,354.4477844238281,0.9999966621398926,185.56407165527344,377.0416259765625,0.9999420642852783,189.43563842773438,411.7079162597656,0.9997770190238953,206.6333465576172,432.3140563964844,0.9964035749435425
9,189.37510681152344,402.6987609863281,0.9999891519546509,194.20147705078125,397.051513671875,0.9999850988388062,184.41062927246094,397.6077575683594,0.99996018409729,183.62391662597656,354.4477844238281,0.9999966621398926,185.56407165527344,377.0416259765625,0.9999420642852783,189.43563842773438,411.7079162597656,0.9997770190238953,206.6333465576172,432.3140563964844,0.9964035749435425
10,189.37510681152344,402.6987609863281,0.9999891519546509,194.20147705078125,397.051513671875,0.9999850988388062,184.41062927246094,397.6077575683594,0.99996018409729,183.62391662597656,354.4477844238281,0.9999966621398926,185.56407165527344,377.0416259765625,0.9999420642852783,189.43563842773438,411.7079162597656,0.9997770190238953,206.6333465576172,432.3140563964844,0.9964035749435425
11,189.37510681152344,402.6987609863281,0.9999891519546509,194.20147705078125,397.051513671875,0.9999850988388062,184.41062927246094,397.6077575683594,0.99996018409729,183.62391662597656,354.4477844238281,0.9999966621398926,185.56407165527344,377.0416259765625,0.9999420642852783,189.43563842773438,411.7079162597656,0.9997770190238953,206.6333465576172,432.3140563964844,0.9964035749435425
12,189.37510681152344,402.6987609863281,0.9999891519546509,194.20147705078125,397.051513671875,0.9999850988388062,184.41062927246094,397.6077575683594,0.99996018409729,183.62391662597656,354.4477844238281,0.9999966621398926,185.56407165527344,377.0416259765625,0.9999420642852783,189.43563842773438,411.7079162597656,0.9997770190238953,206.6333465576172,432.3140563964844,0.9964035749435425
13,189.64926147460938,402.47186279296875,0.9999896287918091,194.3587188720703,396.75006103515625,0.9999877214431763,184.6898193359375,397.4397888183594,0.999951958656311,183.50653076171875,354.5033264160156,0.9999969005584717,185.5467071533203,376.92529296875,0.9999315738677979,190.1387481689453,411.2942810058594,0.9997785687446594,206.4199676513672,431.7872009277344,0.9971709847450256
14,190.6293487548828,402.3999938964844,0.9999861717224121,195.09756469726562,396.6046447753906,0.9999903440475464,185.865478515625,397.525146484375,0.9999314546585083,183.55056762695312,354.58160400390625,0.9999973773956299,185.80511474609375,376.8548583984375,0.9999250173568726,192.59771728515625,412.0621032714844,0.9998979568481445,207.89019775390625,429.1244201660156,0.9975824356079102
15,190.72047424316406,402.3878479003906,0.9999855756759644,195.19830322265625,396.5591735839844,0.9999905824661255,185.95985412597656,397.5038146972656,0.9999339580535889,183.5135498046875,354.5311584472656,0.9999972581863403,185.94546508789062,376.7838439941406,0.9999245405197144,192.66197204589844,412.01190185546875,0.9998939037322998,208.0996856689453,429.1416015625,0.9979179501533508
16,190.66842651367188,402.3774719238281,0.9999856948852539,195.12945556640625,396.5953063964844,0.9999903440475464,185.8946533203125,397.4422912597656,0.9999303817749023,183.57566833496094,354.6026306152344,0.9999974966049194,185.8113555908203,376.8656311035156,0.999923825263977,192.5706329345703,411.91497802734375,0.9998900890350342,207.43710327148438,429.6637878417969,0.9974250793457031
17,190.71237182617188,402.4726257324219,0.9999866485595703,195.1626434326172,396.68231201171875,0.9999912977218628,185.89633178710938,397.5987854003906,0.999934196472168,183.5487060546875,354.6269836425781,0.9999974966049194,185.87396240234375,376.9305114746094,0.9999268054962158,192.58700561523438,412.0379333496094,0.9998897314071655,207.78187561035156,428.71533203125,0.9977454543113708
